restaurant_name_tc,restaurant_name_en,district_name_tc,district_name_en,district_code,address_tc,address_en,license_id,license_type_code,info_code,expiry_date,latitude,longitude,lastupdate,google_id,rating,price_level,review_count,primary_type,all_types,naming_style_en,naming_style_tc
鴻陞泰國菜,鴻陞泰國菜,九龍城區,Kowloon City,52,九龍城南道6號地下,"G/F, 6 SOUTH WALL ROAD, KOWLOON CITY, KOWLOON",2252301106,RL,,2026-12-30,22.3281395,114.1910377,2025-12-17,ChIJ3VOHrioHBDQR8Kr2BDD7y4c,4.0,3.0,120,thai_restaurant,"['thai_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",Standard,標準
泰發泰國餐廳,TAI FAT RESTAURANT,九龍城區,Kowloon City,52,九龍城城南道8號地下,"G/F, 8 SOUTH WALL ROAD, KOWLOON CITY, KOWLOON",2252260465,RL,#G,2027-03-26,22.3285441,114.1911068,2026-03-17,ChIJcxUYrCoHBDQRuL-2dv1lMj0,3.8,3.0,300,thai_restaurant,"['thai_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",Pun,食字
金蘭花泰國菜館,Golden Orchid Thai Restaurant,九龍城區,Kowloon City,52,九龍龍崗道12號地下,"G/F, 12 LUNG KONG ROAD, KOWLOON CITY, KOWLOON",2252180927,RL,#G#H,2027-03-14,22.328582,114.190534,2026-03-06,ChIJI6GzsCoHBDQRKubAvEG0kqE,3.8,3.0,374,thai_restaurant,"['thai_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",Standard,標準
黃珍珍泰國菜館,WONG CHUN CHUN THAI RESTAURANT,九龍城區,Kowloon City,52,"九龍打鼓嶺道23號 百營中心地庫,地下及1樓","BASEMENT, G/F & 1/F, BELSHINE CENTRE, 23 TAK KU LING ROAD, KOWLOON",2252800126,RL,#G#H,2026-06-22,22.3290985,114.1913935,2025-06-20,ChIJTbjvoCoHBDQR4csfnUCbwLY,3.8,3.0,1070,thai_restaurant,"['thai_restaurant', 'asian_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",Standard,標準
泰仔美食,THAI HOT,九龍城區,Kowloon City,52,九龍南角道30至32號地下,"G/F, 30-32 NAM KOK RD, KOWLOON CITY, KOWLOON",2252080007,RL,#G,2026-06-30,22.3290813,114.1900554,2025-06-25,ChIJf3xbxyoHBDQR4ADh7aOxQSU,4.0,3.0,689,thai_restaurant,"['thai_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",Standard,標準
永珍泰國燒烤食館,永珍泰國燒烤食館,九龍城區,Kowloon City,52,九龍獅子石道12號地下 及14號地下主要部份,"12 (G/F), 14 (G/F)(MAJOR PORTION), LION ROCK ROAD, KOWLOON CITY, KOWLOON",2252061293,RL,,2026-06-30,22.3280531,114.1882891,2025-06-16,ChIJyd0i1NQABDQR4KUB_q5ydaY,3.6,3.0,432,vietnamese_restaurant,"['vietnamese_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",Standard,標準
亞潘泰國菜,AMPORN THAI FOOD,葵青區,Kwai Tsing,91,新界葵涌和宜合道5-27號 寶星中心地下6號鋪,"SHOP NO. 6, G/F, PO SING CENTRE, 5-27 WO YI HOP ROAD, KWAI CHUNG, NEW TERRITORIES",3191000491,RR,,2027-03-05,22.3658622,114.1364321,2026-03-10,ChIJt4skvpv4AzQRSd5fPLbGGic,4.0,0.0,63,thai_restaurant,"['thai_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",Standard,標準
泰旺泰國小菜,泰旺泰國小菜,葵青區,Kwai Tsing,91,新界葵涌 禾塘咀街127號地下,"G/F, 127 WO TONG TSUI STREET, KWAI CHUNG, NEW TERRITORIES",2291000518,RL,,2026-06-30,22.367511,114.132836,2025-06-30,ChIJi4xFY5r4AzQR9D5Qm0D6NfY,3.5,0.0,100,restaurant,"['restaurant', 'food', 'point_of_interest', 'establishment']",Pun,食字
Khao Tip Thai,Khao Tip Thai,離島區,Islands,17,新界大嶼山東涌下嶺皮村10號地下,"G/F., 10 HA LING PEI VILLAGE, TUNG CHUNG, LANTAU ISLAND, NEW TERRITORIES",2217001519,RL,,2026-07-18,22.2786265,113.9358126,2025-07-22,ChIJBWDYBApYATQRPQsRiImlJEs,3.8,3.0,275,thai_restaurant,"['thai_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",English,英文
泰象館,THAI CHANG HOUSE,九龍城區,Kowloon City,52,九龍城南道48號地下,"G/F, 48 SOUTH WALL ROAD, KOWLOON CITY, KOWLOON",2252170625,RL,#G,2026-07-13,22.3296529,114.1911017,2025-06-27,ChIJW59jmSoHBDQRQbwnKSIJwWk,4.0,3.0,412,thai_restaurant,"['thai_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",Standard,標準
泰金國,DAOKAEW,九龍城區,Kowloon City,52,九龍九龍城侯王道9號地下,"G/F, 9 HAU WONG ROAD, KOWLOON CITY, KOWLOON",2252079003,RL,#G,2026-06-30,22.3280021,114.1885406,2025-05-28,ChIJEd5JWdUGBDQRZexjQEVAMRU,3.8,0.0,552,thai_restaurant,"['thai_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",Standard,標準
